Exposure	R2_main	Beta	P	N	Ancestry	Cohort	BMI
SatFatGramsWk	0.04178	4.745e-03	0.033050	6073	AFR	UKBB	logBMI
SaturatedFatMean	0.0419	0.0089152	0.0114	7033	AFR	UKBB	logBMI
SleepDuration	0.04114	-1.757e-03	0.395	6835	AFR	UKBB	logBMI
StarchMean	0.0186	0.0065813	0.0608	2343	AFR	UKBB	logBMI
TG	0.08114	3.558e-02	2e-16	6592	AFR	UKBB	logBMI
TotCholesterol	0.04205	-2.109e-03	0.319	6594	AFR	UKBB	logBMI
TotalSugarsMean	0.01726	0.0020582	0.5565	2343	AFR	UKBB	logBMI
Townsend	0.0462	1.157e-02	2.02e-08	7018	AFR	UKBB	logBMI
VPA_NDays	0.03539	-7.617e-03	0.000447	5352	AFR	UKBB	logBMI
VitaminB12Mean	0.01712	0.0003284	0.9254	2343	AFR	UKBB	logBMI
VitaminB6Mean	0.0203	0.0096585	0.00592	2343	AFR	UKBB	logBMI
VitaminCMean	0.01721	0.0017060	0.6267	2343	AFR	UKBB	logBMI
VitaminDMean	0.01715	-0.0010592	0.7628	2343	AFR	UKBB	logBMI
VitaminEMean	0.01734	0.0025408	0.4680	2343	AFR	UKBB	logBMI
Age	0.01515	9.031e-03	2e-16	376729	EUR	UKBB	logBMI
AlcoholMean	0.0167	-4.973e-03	2e-16	126756	EUR	UKBB	logBMI
AmntOnDrnkDayRaw	0.03197	1.579e-02	2e-16	112296	EUR	UKBB	logBMI
BeefIntake	0.02385	1.550e-02	2e-16	375513	EUR	UKBB	logBMI
BeefWk	0.01625	1.130e-02	2e-16	376729	EUR	UKBB	logBMI
CalciumMean	0.01775	-5.875e-03	2e-16	127891	EUR	UKBB	logBMI
CarbohydrateMean	0.02093	-1.082e-02	2e-16	128066	EUR	UKBB	logBMI
CaroteneMean	0.01798	-6.406e-03	2e-16	127588	EUR	UKBB	logBMI
CheeseIntake	0.01972	-1.128e-02	2e-16	367940	EUR	UKBB	logBMI
CheeseWk	0.02048	-1.218e-02	2e-16	367940	EUR	UKBB	logBMI
DBPadj	0.04609	5.531e-02	2e-16	375903	EUR	UKBB	logBMI
DrinkFreqWkRaw	0.03351	-1.932e-02	2e-16	122281	EUR	UKBB	logBMI
EnergyMean	0.01791	-6.543e-03	2e-16	375410	EUR	UKBB	logBMI
FEV1	0.03377	-3.027e-02	2e-16	343544	EUR	UKBB	logBMI
FVC	0.056	-4.648e-02	2e-16	343467	EUR	UKBB	logBMI
FatMean	0.0169	-3.239e-03	3.14e-13	128092	EUR	UKBB	logBMI
FiberMean	0.02228	-1.218e-02	2e-16	128213	EUR	UKBB	logBMI
FolateMean	0.01892	-8.007e-03	2e-16	127995	EUR	UKBB	logBMI
FoodWeightMean	0.01648	2.554e-03	5.74e-09	128304	EUR	UKBB	logBMI
HDL	0.1459	-6.578e-02	2e-16	328719	EUR	UKBB	logBMI
HbA1c	0.06806	3.904e-02	2e-16	358798	EUR	UKBB	logBMI
HbA1cGreater48	0.04111	2.677e-02	2e-16	359022	EUR	UKBB	logBMI
IPAQ	0.0336	-2.107e-02	2e-16	304951	EUR	UKBB	logBMI
IronMean	0.02438	-1.431e-02	2e-16	128333	EUR	UKBB	logBMI
LDL	0.01657	6.264e-03	2e-16	358556	EUR	UKBB	logBMI
LambMuttonIntake	0.01804	8.922e-03	2e-16	374710	EUR	UKBB	logBMI
LambMuttonWk	0.01692	6.914e-03	2e-16	374710	EUR	UKBB	logBMI
MVPAirnt	0.03442	-2.098e-02	2e-16	304951	EUR	UKBB	logBMI
MagnesiumMean	0.02563	-1.537e-02	2e-16	128055	EUR	UKBB	logBMI
MeanDrinksWk	0.009459	3.214e-03	2.44e-11	242693	EUR	UKBB	logBMI
PackYears	0.02962	2.184e-02	2e-16	114135	EUR	UKBB	logBMI
PolyunFatMean	0.01729	-4.370e-03	2e-16	127785	EUR	UKBB	logBMI
PorkIntake	0.02333	1.507e-02	2e-16	374836	EUR	UKBB	logBMI
PorkWk	0.02012	1.169e-02	2e-16	374836	EUR	UKBB	logBMI
PotassiumMean	0.01879	-7.978e-03	2e-16	128017	EUR	UKBB	logBMI
ProcMeatIntake	0.02745	1.916e-02	2e-16	376205	EUR	UKBB	logBMI
ProcMeatWk	0.02241	1.466e-02	2e-16	376205	EUR	UKBB	logBMI
ProteinMean	0.01718	4.494e-03	2e-16	128181	EUR	UKBB	logBMI
RetinolMean	0.01743	-4.880e-03	2e-16	126029	EUR	UKBB	logBMI
SBPadj	0.02152	4.130e-02	2e-16	304925	EUR	UKBB	logBMI
SaltAddedRawCont	0.02167	9.967e-03	2e-16	304925	EUR	UKBB	logBMI
SatFatGramsWk	0.01587	4.395e-03	2e-16	364629	EUR	UKBB	logBMI
SaturatedFatMean	0.01515	6.348e-04	0.1530	376729	EUR	UKBB	logBMI
SleepDuration	0.01578	-3.390e-03	2e-16	374681	EUR	UKBB	logBMI
StarchMean	0.01844	-7.042e-03	2e-16	128346	EUR	UKBB	logBMI
TG	0.1012	4.965e-02	2e-16	358933	EUR	UKBB	logBMI
TotCholesterol	0.01575	-4.129e-03	2e-16	359221	EUR	UKBB	logBMI
TotalSugarsMean	0.02138	-1.121e-02	2e-16	128033	EUR	UKBB	logBMI
Townsend	0.02187	1.370e-02	2e-16	376283	EUR	UKBB	logBMI
