Exposure	Variable_type	R2_main	R2_interaction	R2_diff	Interaction_Beta	Interaction_SE	Interaction_P	PRS_beta	PRS_SE	N	Ancestry	Cohort	interaction_beta_div_prs_beta	Units	Original	Note
PhysicalActivity	Continuous	0.06941	0.07018	0.00077	-3.02E-03	0.002122527	1.55E-01	3.90E-02		5352	AFR	UKBB	-0.077435897	SD	PhysicalActivity	
PhysicalActivity	Continuous	0.1013	0.1024	0.0011	-0.028742124	0.003640856	2.97E-15	0.188766554		54845	EUR	GERA	-0.1522628	SD		
PhysicalActivity	Continuous	0.1089	0.1099	0.001	-0.004947182	2.91E-04	8.92E-65	0.043361755		304951	EUR	UKBB	-0.114090908	SD	PhysicalActivity	
Sex	Binary	0.04487	0.04859	0.00372	0.039143408	0.014835823	8.40E-03	0.101519251	0.020088323	1789	AFR	GERA	0.38557621			
Sex	Binary	0.0659	0.06716	0.00126	-1.85E-02	0.009072803	4.12E-02	5.18E-02	0.005163044	3103	AFR	eMERGE	-0.357142857			
Sex	Binary	0.07053	0.07243	0.0019	-0.015341602	4.05E-03	1.52E-04	0.037289791	2.70E-03	7033	AFR	UKBB	-0.411415607			
Sex	Binary	0.07846	0.07922	0.00076	-0.014224225	0.005037428	4.76E-03	0.053314589	0.003084111	9674	AFR	PMBB	-0.266797987			
Sex	Binary	0.08776	0.08921	0.00145	-0.015907101	2.45E-03	9.26E-11	0.066379686	1.82E-03	26372	EUR	PMBB	-0.239638087			
Sex	Binary	0.09454	0.09667	0.00213	-0.019501488	2.24E-03	3.86E-18	0.068515525	1.51E-03	31961	EUR	eMERGE	-0.284628747			
Sex	Binary	0.07059	0.07094	0.00035	-0.01231147	0.00267408	4.15E-06	0.08266092	0.001721808	56049	EUR	GERA	-0.148939426			
Sex	Binary	0.09041	0.09066	0.00025	-0.005280768	5.16E-04	1.41E-24	0.047905635	3.52E-04	376729	EUR	UKBB	-0.110232711			
SmokingPackYears	Continuous	0.07067	0.07081	0.00014	1.77E-04	0.000422457	6.75E-01	2.77E-02	0.008071649	1147	AFR	UKBB	0.006389892			
SmokingPackYears	Continuous	0.05001	0.051	0.00099	0.001135015	0.000989126	2.51E-01	0.133727937	0.043491296	1662	AFR	GERA	0.008487494			
SmokingPackYears	Continuous	0.08085	0.08088	3.00E-05	-8.65E-05	0.000135438	5.23E-01	8.63E-02	0.00756143	53213	EUR	GERA	-0.001002317			
SmokingPackYears	Continuous	0.1055	0.1057	0.0002	1.28E-04	2.46E-05	2.14E-07	4.26E-02	7.41E-04	114135	EUR	UKBB	0.003004695			
Socioeconomic	Continuous	0.05704	0.05806	0.00102	-0.026871894	0.022719282	2.37E-01	0.437515044		1660	AFR	GERA	-0.06141936	SD	Income	
Socioeconomic	Continuous	0.07448	0.07471	0.00023	0.002516084	2.01E-03	2.12E-01	0.03674342		7018	AFR	UKBB	-0.068477131	SD	Townsend	Reversed effect direction
Socioeconomic	Continuous	0.07918	0.07937	0.00019	0.004005396	0.003828223	2.95E-01	0.392271651		51661	EUR	GERA	0.010210771	SD	Income	
Socioeconomic	Continuous	0.09931	0.1002	0.00089	0.004413383	2.74E-04	2.86E-58	0.065126704		376283	EUR	UKBB	-0.067766104	SD	Townsend	Reversed effect direction
TG	Continuous	0.07605	0.07612	7.00E-05	1.48E-06	6.36E-05	9.81E-01	4.55E-02	8.19E-03	3102	AFR	eMERGE	3.25E-05			
TG	Continuous	0.1097	0.1106	0.0009	-6.15E-05	2.87E-05	3.19E-02	4.05E-02	4.39E-03	6592	AFR	UKBB	-0.001519849			
TG	Continuous	0.09926	0.09938	0.00012	2.42E-05	2.53E-05	3.38E-01	4.48E-02	5.03E-03	7155	AFR	PMBB	0.000540179			
TG	Continuous	0.1151	0.1163	0.0012	-7.09E-05	1.56E-05	5.46E-06	6.68E-02	3.29E-03	15079	EUR	PMBB	-0.001061377			
TG	Continuous	0.1356	0.1359	0.0003	-4.11E-05	1.18E-05	5.01E-04	6.42E-02	2.08E-03	31939	EUR	eMERGE	-0.000640187			
TG	Continuous	0.1733	0.1733	0	-2.10E-06	3.07E-06	4.95E-01	4.49E-02	7.22E-04	358933	EUR	UKBB	-4.67E-05			
TotCholesterol	Continuous	0.06597	0.06742	0.00145	-1.31E-05	1.03E-04	8.99E-01	2.09E-02	2.08E-02	3103	AFR	eMERGE	-0.000626794			
TotCholesterol	Continuous	0.07203	0.07227	0.00024	6.50E-05	4.96E-05	1.91E-01	2.01E-02	1.04E-02	6594	AFR	UKBB	0.003232438			
TotCholesterol	Continuous	0.09642	0.09712	0.0007	-0.000157217	6.76E-05	2.00E-02	0.0716584	1.28E-02	7040	AFR	PMBB	-0.002193979			
TotCholesterol	Continuous	0.08008	0.0801	2.00E-05	-2.49E-05	3.90E-05	5.22E-01	6.04E-02	8.06E-03	14417	EUR	PMBB	-0.000412252			
TotCholesterol	Continuous	0.09522	0.09533	0.00011	-5.11E-05	2.60E-05	4.96E-02	6.79E-02	5.74E-03	31961	EUR	eMERGE	-0.000752577			
TotCholesterol	Continuous	0.09096	0.09178	0.00082	-1.17E-04	6.54E-06	1.64E-71	6.67E-02	1.35E-03	359221	EUR	UKBB	-0.001755334			
