Exposure	R2	SE	Mean	Max_diff_bw	Abs_max_diff_bw	R2_diff	P_max_diff	N	Cohort	Ancestry	VariableType
Age	0.03305015	0.009326572	50.52916	3_4	0.006588440000000001	-0.006588440000000001	0.703356	7033	UKBB	AFR	Continuous
Age	0.02646171	0.008215999	55.92822	3_4	0.006588440000000001	-0.006588440000000001	0.703356	7033	UKBB	AFR	Continuous
Age	0.02822236	0.008322594	64.49964	3_4	0.006588440000000001	-0.006588440000000001	0.703356	7033	UKBB	AFR	Continuous
AlcoholMean	0.04708536	0.019654238	0	3_4	0.042374	0.042374	0.1419899	2343	UKBB	AFR	Continuous
AlcoholMean	0.04375973	0.017238064	0	3_4	0.042374	0.042374	0.1419899	2343	UKBB	AFR	Continuous
AlcoholMean	0.01158555	0.009274888	0	3_4	0.042374	0.042374	0.1419899	2343	UKBB	AFR	Continuous
AlcoholMean	0.05395955	0.020582227	5.317026	3_4	0.042374	0.042374	0.1419899	2343	UKBB	AFR	Continuous
AlcoholMean	0.03127299	0.015425639	31.11460	3_4	0.042374	0.042374	0.1419899	2343	UKBB	AFR	Continuous
AmntOnDrnkDayRaw	0.034583345	0.03009265	1	2_5	0.059936571999999994	0.059936571999999994	0.2023225	763	UKBB	AFR	Continuous
AmntOnDrnkDayRaw	0.004734342	0.01294165	1	2_5	0.059936571999999994	0.059936571999999994	0.2023225	763	UKBB	AFR	Continuous
AmntOnDrnkDayRaw	0.019100120	0.02204420	1	2_5	0.059936571999999994	0.059936571999999994	0.2023225	763	UKBB	AFR	Continuous
AmntOnDrnkDayRaw	0.035528319	0.02617003	1.529412	2_5	0.059936571999999994	0.059936571999999994	0.2023225	763	UKBB	AFR	Continuous
AmntOnDrnkDayRaw	0.064670914	0.03785125	2.705882	2_5	0.059936571999999994	0.059936571999999994	0.2023225	763	UKBB	AFR	Continuous
BeefIntake	0.03040828	0.009461791	-0.1123755	4_5	0.00572667	-0.00572667	0.7193553	7033	UKBB	AFR	Continuous
BeefIntake	0.02737829	0.008066059	1	4_5	0.00572667	-0.00572667	0.7193553	7033	UKBB	AFR	Continuous
BeefIntake	0.02968779	0.008892706	1	4_5	0.00572667	-0.00572667	0.7193553	7033	UKBB	AFR	Continuous
BeefIntake	0.03105528	0.008343953	1.966596	4_5	0.00572667	-0.00572667	0.7193553	7033	UKBB	AFR	Continuous
BeefIntake	0.02532861	0.007694934	3.132907	4_5	0.00572667	-0.00572667	0.7193553	7033	UKBB	AFR	Continuous
CAD	0.02870630	0.003994742	0	1_2	0.0022876600000000004	-0.0022876600000000004	0.7730352	7033	UKBB	AFR	Binary
CAD	0.02641864	0.035720460	1	1_2	0.0022876600000000004	-0.0022876600000000004	0.7730352	7033	UKBB	AFR	Binary
CalciumMean	0.02555925	0.01335855	340.9875	3_5	0.037327940000000004	0.037327940000000004	0.2482901	2343	UKBB	AFR	Continuous
CalciumMean	0.04633092	0.01865266	553.8184	3_5	0.037327940000000004	0.037327940000000004	0.2482901	2343	UKBB	AFR	Continuous
CalciumMean	0.01765066	0.01247748	744.2985	3_5	0.037327940000000004	0.037327940000000004	0.2482901	2343	UKBB	AFR	Continuous
CalciumMean	0.03672383	0.01714583	978.9505	3_5	0.037327940000000004	0.037327940000000004	0.2482901	2343	UKBB	AFR	Continuous
CalciumMean	0.05497860	0.02060248	1749.673	3_5	0.037327940000000004	0.037327940000000004	0.2482901	2343	UKBB	AFR	Continuous
CarbohydrateMean	0.04494423	0.01806622	123.6361	1_4	0.0224197	-0.0224197	0.4526294	2343	UKBB	AFR	Continuous
CarbohydrateMean	0.02289807	0.01266145	191.5759	1_4	0.0224197	-0.0224197	0.4526294	2343	UKBB	AFR	Continuous
CarbohydrateMean	0.04211578	0.01855027	241.0636	1_4	0.0224197	-0.0224197	0.4526294	2343	UKBB	AFR	Continuous
CarbohydrateMean	0.02252453	0.01263126	301.1151	1_4	0.0224197	-0.0224197	0.4526294	2343	UKBB	AFR	Continuous
CarbohydrateMean	0.03717536	0.01713836	489.0428	1_4	0.0224197	-0.0224197	0.4526294	2343	UKBB	AFR	Continuous
CaroteneMean	0.03649433	0.01574659	264.4687	3_5	0.04176103	-0.04176103	0.1616311	2343	UKBB	AFR	Continuous
CaroteneMean	0.04255055	0.01880643	914.6722	3_5	0.04176103	-0.04176103	0.1616311	2343	UKBB	AFR	Continuous
CaroteneMean	0.05448342	0.01989709	2173.891	3_5	0.04176103	-0.04176103	0.1616311	2343	UKBB	AFR	Continuous
CaroteneMean	0.02902474	0.01685043	4162.221	3_5	0.04176103	-0.04176103	0.1616311	2343	UKBB	AFR	Continuous
CaroteneMean	0.01272239	0.01065672	9732.609	3_5	0.04176103	-0.04176103	0.1616311	2343	UKBB	AFR	Continuous
CheeseIntake	0.01979200	0.007515106	0.3066465	1_5	0.01748933	0.01748933	0.2990792	6622	UKBB	AFR	Continuous
CheeseIntake	0.03317389	0.009331230	1	1_5	0.01748933	0.01748933	0.2990792	6622	UKBB	AFR	Continuous
CheeseIntake	0.02346272	0.007777696	1.504151	1_5	0.01748933	0.01748933	0.2990792	6622	UKBB	AFR	Continuous
CheeseIntake	0.02855180	0.008652796	2.382931	1_5	0.01748933	0.01748933	0.2990792	6622	UKBB	AFR	Continuous
CheeseIntake	0.03728133	0.009427236	3.32	1_5	0.01748933	0.01748933	0.2990792	6622	UKBB	AFR	Continuous
CoffeeIntake	0.02469288	0.008531663	0	1_5	0.01749808	0.01749808	0.3593878	6285	UKBB	AFR	Continuous
CoffeeIntake	0.02869858	0.009238030	0	1_5	0.01749808	0.01749808	0.3593878	6285	UKBB	AFR	Continuous
CoffeeIntake	0.02892801	0.009210814	0.6030231	1_5	0.01749808	0.01749808	0.3593878	6285	UKBB	AFR	Continuous
CoffeeIntake	0.02502740	0.008758991	1.412888	1_5	0.01749808	0.01749808	0.3593878	6285	UKBB	AFR	Continuous
CoffeeIntake	0.04219096	0.010705814	3.470963	1_5	0.01749808	0.01749808	0.3593878	6285	UKBB	AFR	Continuous
DBP	0.03944819	0.010146325	71.26106	1_2	0.02573834	-0.02573834	0.1089863	6784	UKBB	AFR	Continuous
DBP	0.01370985	0.006108180	80.535	1_2	0.02573834	-0.02573834	0.1089863	6784	UKBB	AFR	Continuous
DBP	0.01856131	0.007085182	87.19713	1_2	0.02573834	-0.02573834	0.1089863	6784	UKBB	AFR	Continuous
DBP	0.02349340	0.008398659	94.27045	1_2	0.02573834	-0.02573834	0.1089863	6784	UKBB	AFR	Continuous
DBP	0.03578316	0.009731256	105.7259	1_2	0.02573834	-0.02573834	0.1089863	6784	UKBB	AFR	Continuous
Diabetes	0.02719425	0.003978673	0	1_2	0.0029337699999999987	-0.0029337699999999987	0.7289832	6957	UKBB	AFR	Binary
Diabetes	0.02426048	0.010047430	1	1_2	0.0029337699999999987	-0.0029337699999999987	0.7289832	6957	UKBB	AFR	Binary
AlcoholDaysPerWeek	0.04154985	0.02791997	10	4_5	0.026511660000000003	-0.026511660000000003	0.5350622	1028	UKBB	AFR	Continuous
AlcoholDaysPerWeek	0.02944700	0.02417551	30	4_5	0.026511660000000003	-0.026511660000000003	0.5350622	1028	UKBB	AFR	Continuous
AlcoholDaysPerWeek	0.03315673	0.02267418	50	4_5	0.026511660000000003	-0.026511660000000003	0.5350622	1028	UKBB	AFR	Continuous
AlcoholDaysPerWeek	0.04277522	0.02825651	70	4_5	0.026511660000000003	-0.026511660000000003	0.5350622	1028	UKBB	AFR	Continuous
AlcoholDaysPerWeek	0.01626356	0.01761574	90	4_5	0.026511660000000003	-0.026511660000000003	0.5350622	1028	UKBB	AFR	Continuous
EduYears	0.01999452	0.007506670	7.260838	1_2	0.01982745	0.01982745	0.2477335	6805	UKBB	AFR	Continuous
EduYears	0.03982197	0.009756698	10.03968	1_2	0.01982745	0.01982745	0.2477335	6805	UKBB	AFR	Continuous
EduYears	0.02635513	0.007626138	15.40265	1_2	0.01982745	0.01982745	0.2477335	6805	UKBB	AFR	Continuous
EduYears	0.02906898	0.009146984	19.71271	1_2	0.01982745	0.01982745	0.2477335	6805	UKBB	AFR	Continuous
EduYears	0.03002232	0.008741980	20	1_2	0.01982745	0.01982745	0.2477335	6805	UKBB	AFR	Continuous
EnergyMean	0.03037420	0.01406664	4331.049	1_3	0.0076141199999999985	0.0076141199999999985	0.794276	2343	UKBB	AFR	Continuous
EnergyMean	0.03189174	0.01602078	6460.355	1_3	0.0076141199999999985	0.0076141199999999985	0.794276	2343	UKBB	AFR	Continuous
EnergyMean	0.03798832	0.01750604	7972.145	1_3	0.0076141199999999985	0.0076141199999999985	0.794276	2343	UKBB	AFR	Continuous
EnergyMean	0.03218284	0.01722775	9721.283	1_3	0.0076141199999999985	0.0076141199999999985	0.794276	2343	UKBB	AFR	Continuous
EnergyMean	0.03750775	0.01601570	14896.58	1_3	0.0076141199999999985	0.0076141199999999985	0.794276	2343	UKBB	AFR	Continuous
EverSmoked	0.02933805	0.004973834	0	1_2	0.0021243200000000025	0.0021243200000000025	0.8349388	6983	UKBB	AFR	Binary
EverSmoked	0.03146237	0.006413560	1	1_2	0.0021243200000000025	0.0021243200000000025	0.8349388	6983	UKBB	AFR	Binary
EverSmoker	0.03000341	0.004618544	0	1_2	0.00036691000000000154	-0.00036691000000000154	0.9673954	6980	UKBB	AFR	Binary
EverSmoker	0.02963650	0.007375815	1	1_2	0.00036691000000000154	-0.00036691000000000154	0.9673954	6980	UKBB	AFR	Binary
FatMean	0.01544114	0.01057230	28.70368	1_5	0.03939209	0.03939209	0.1904264	2343	UKBB	AFR	Continuous
FatMean	0.04650476	0.01826302	49.56009	1_5	0.03939209	0.03939209	0.1904264	2343	UKBB	AFR	Continuous
FatMean	0.03055521	0.01621962	65.52074	1_5	0.03939209	0.03939209	0.1904264	2343	UKBB	AFR	Continuous
FatMean	0.03246891	0.01509357	85.44279	1_5	0.03939209	0.03939209	0.1904264	2343	UKBB	AFR	Continuous
FatMean	0.05483323	0.02042935	132.9025	1_5	0.03939209	0.03939209	0.1904264	2343	UKBB	AFR	Continuous
FEV1	0.02350490	0.008027664	1.402047	4_5	0.01915608	0.01915608	0.3002092	6426	UKBB	AFR	Continuous
FEV1	0.02911461	0.009284184	1.941051	4_5	0.01915608	0.01915608	0.3002092	6426	UKBB	AFR	Continuous
FEV1	0.03803303	0.010578626	2.280817	4_5	0.01915608	0.01915608	0.3002092	6426	UKBB	AFR	Continuous
FEV1	0.02170768	0.007736859	2.66986	4_5	0.01915608	0.01915608	0.3002092	6426	UKBB	AFR	Continuous
FEV1	0.04086376	0.011021123	3.386975	4_5	0.01915608	0.01915608	0.3002092	6426	UKBB	AFR	Continuous
FiberMean	0.04624964	0.01672345	5.416325	3_5	0.033930840000000004	0.033930840000000004	0.2549306	2343	UKBB	AFR	Continuous
FiberMean	0.02861393	0.01551358	9.738816	3_5	0.033930840000000004	0.033930840000000004	0.2549306	2343	UKBB	AFR	Continuous
FiberMean	0.01697797	0.01091861	13.36516	3_5	0.033930840000000004	0.033930840000000004	0.2549306	2343	UKBB	AFR	Continuous
FiberMean	0.02505634	0.01462331	17.77247	3_5	0.033930840000000004	0.033930840000000004	0.2549306	2343	UKBB	AFR	Continuous
FiberMean	0.05090881	0.01989154	29.47012	3_5	0.033930840000000004	0.033930840000000004	0.2549306	2343	UKBB	AFR	Continuous
FolateMean	0.03331341	0.01420958	109.2084	2_5	0.027036769999999998	-0.027036769999999998	0.3900248	2343	UKBB	AFR	Continuous
FolateMean	0.04815488	0.01952215	184.2646	2_5	0.027036769999999998	-0.027036769999999998	0.3900248	2343	UKBB	AFR	Continuous
FolateMean	0.02480393	0.01402720	241.2552	2_5	0.027036769999999998	-0.027036769999999998	0.3900248	2343	UKBB	AFR	Continuous
FolateMean	0.04492858	0.02071890	311.9823	2_5	0.027036769999999998	-0.027036769999999998	0.3900248	2343	UKBB	AFR	Continuous
FolateMean	0.02111811	0.01285447	522.0809	2_5	0.027036769999999998	-0.027036769999999998	0.3900248	2343	UKBB	AFR	Continuous
FoodWeightMean	0.03632677	0.01654556	1731.1634	2_5	0.01575352	-0.01575352	0.6250195	2343	UKBB	AFR	Continuous
FoodWeightMean	0.04058760	0.01796324	2381.735	2_5	0.01575352	-0.01575352	0.6250195	2343	UKBB	AFR	Continuous
FoodWeightMean	0.03137004	0.01572956	2856.076	2_5	0.01575352	-0.01575352	0.6250195	2343	UKBB	AFR	Continuous
FoodWeightMean	0.03761513	0.01609216	3389.407	2_5	0.01575352	-0.01575352	0.6250195	2343	UKBB	AFR	Continuous
FoodWeightMean	0.02483408	0.01487298	4792.51	2_5	0.01575352	-0.01575352	0.6250195	2343	UKBB	AFR	Continuous
FVC	0.02267544	0.008333767	1.866724	1_3	0.02302934	0.02302934	0.2354485	6426	UKBB	AFR	Continuous
FVC	0.02359298	0.007994089	2.532809	1_3	0.02302934	0.02302934	0.2354485	6426	UKBB	AFR	Continuous
FVC	0.04570478	0.011228689	2.958327	1_3	0.02302934	0.02302934	0.2354485	6426	UKBB	AFR	Continuous
FVC	0.02446255	0.007706986	3.445058	1_3	0.02302934	0.02302934	0.2354485	6426	UKBB	AFR	Continuous
FVC	0.02778622	0.008897984	4.407146	1_3	0.02302934	0.02302934	0.2354485	6426	UKBB	AFR	Continuous
HbA1c	0.01745404	0.006941423	29.87035	4_5	0.02143903	0.02143903	0.2045796	5703	UKBB	AFR	Continuous
HbA1c	0.03640692	0.010917527	35.25732	4_5	0.02143903	0.02143903	0.2045796	5703	UKBB	AFR	Continuous
HbA1c	0.01639830	0.007321052	37.98825	4_5	0.02143903	0.02143903	0.2045796	5703	UKBB	AFR	Continuous
HbA1c	0.01561922	0.006721325	40.9163	4_5	0.02143903	0.02143903	0.2045796	5703	UKBB	AFR	Continuous
HbA1c	0.03705825	0.010427256	52.74154	4_5	0.02143903	0.02143903	0.2045796	5703	UKBB	AFR	Continuous
HDL	0.01852661	0.007294887	38.17011291	1_4	0.011812530000000002	0.011812530000000002	0.4706614	6100	UKBB	AFR	Continuous
HDL	0.02607394	0.008287002	47.20926408	1_4	0.011812530000000002	0.011812530000000002	0.4706614	6100	UKBB	AFR	Continuous
HDL	0.02355044	0.008620913	53.72148543	1_4	0.011812530000000002	0.011812530000000002	0.4706614	6100	UKBB	AFR	Continuous
HDL	0.03033914	0.009314274	61.57876539	1_4	0.011812530000000002	0.011812530000000002	0.4706614	6100	UKBB	AFR	Continuous
HDL	0.02852207	0.008728109	77.04475455000001	1_4	0.011812530000000002	0.011812530000000002	0.4706614	6100	UKBB	AFR	Continuous
IPAQBinary	0.02463949	0.008250503	0	1_2	0.00923301	0.00923301	0.46785	5352	UKBB	AFR	Binary
IPAQBinary	0.03387250	0.005141702	1	1_2	0.00923301	0.00923301	0.46785	5352	UKBB	AFR	Binary
IPAQ	0.02248111	0.008546153	0	2_4	0.02420785	-0.02420785	0.2054686	5352	UKBB	AFR	Continuous
IPAQ	0.04385882	0.011185929	0.9168224	2_4	0.02420785	-0.02420785	0.2054686	5352	UKBB	AFR	Continuous
IPAQ	0.03719677	0.011962593	1	2_4	0.02420785	-0.02420785	0.2054686	5352	UKBB	AFR	Continuous
IPAQ	0.01965097	0.008088970	1.992523	2_4	0.02420785	-0.02420785	0.2054686	5352	UKBB	AFR	Continuous
IPAQ	0.03592013	0.010025995	2	2_4	0.02420785	-0.02420785	0.2054686	5352	UKBB	AFR	Continuous
IronMean	0.04622257	0.018045410	5.538114	4_5	0.04977998	0.04977998	0.0940036	2343	UKBB	AFR	Continuous
IronMean	0.03759430	0.016919953	8.814272	4_5	0.04977998	0.04977998	0.0940036	2343	UKBB	AFR	Continuous
IronMean	0.02479434	0.013684297	11.18719	4_5	0.04977998	0.04977998	0.0940036	2343	UKBB	AFR	Continuous
IronMean	0.01003782	0.009333205	14.02956	4_5	0.04977998	0.04977998	0.0940036	2343	UKBB	AFR	Continuous
IronMean	0.05981780	0.021228492	21.62457	4_5	0.04977998	0.04977998	0.0940036	2343	UKBB	AFR	Continuous
LambMuttonIntake	0.03260832	0.008965391	-0.02987198	2_4	0.017748150000000004	0.017748150000000004	0.2833626	7033	UKBB	AFR	Continuous
LambMuttonIntake	0.01901708	0.006927573	1	2_4	0.017748150000000004	0.017748150000000004	0.2833626	7033	UKBB	AFR	Continuous
LambMuttonIntake	0.03048156	0.009085036	1	2_4	0.017748150000000004	0.017748150000000004	0.2833626	7033	UKBB	AFR	Continuous
LambMuttonIntake	0.03676523	0.009834928	1.978678	2_4	0.017748150000000004	0.017748150000000004	0.2833626	7033	UKBB	AFR	Continuous
LambMuttonIntake	0.02790763	0.008699480	2.77683	2_4	0.017748150000000004	0.017748150000000004	0.2833626	7033	UKBB	AFR	Continuous
LDL	0.01825453	0.007067616	83.43767894999999	1_4	0.024985289999999997	0.024985289999999997	0.1537716	6581	UKBB	AFR	Continuous
LDL	0.03708554	0.010335622	107.67591894	1_4	0.024985289999999997	0.024985289999999997	0.1537716	6581	UKBB	AFR	Continuous
LDL	0.02526850	0.008210595	123.67539942	1_4	0.024985289999999997	0.024985289999999997	0.1537716	6581	UKBB	AFR	Continuous
LDL	0.04323982	0.010625250	141.42728829	1_4	0.024985289999999997	0.024985289999999997	0.1537716	6581	UKBB	AFR	Continuous
LDL	0.03042194	0.008774679	173.48928135000003	1_4	0.024985289999999997	0.024985289999999997	0.1537716	6581	UKBB	AFR	Continuous
MagnesiumMean	0.031697049	0.015314018	158.9685	3_4	0.058729657000000005	-0.058729657000000005	0.05651663	2343	UKBB	AFR	Continuous
MagnesiumMean	0.040926182	0.017518004	238.8529	3_4	0.058729657000000005	-0.058729657000000005	0.05651663	2343	UKBB	AFR	Continuous
MagnesiumMean	0.068651136	0.023010818	303.103	3_4	0.058729657000000005	-0.058729657000000005	0.05651663	2343	UKBB	AFR	Continuous
MagnesiumMean	0.009921479	0.008692551	378.7245	3_4	0.058729657000000005	-0.058729657000000005	0.05651663	2343	UKBB	AFR	Continuous
MagnesiumMean	0.036968554	0.017434881	593.6192	3_4	0.058729657000000005	-0.058729657000000005	0.05651663	2343	UKBB	AFR	Continuous
MeanDrinksWk	0.02687369	0.02363275	0.3	4_5	0.05088378	-0.05088378	0.2966593	762	UKBB	AFR	Continuous
MeanDrinksWk	0.04659212	0.02913140	0.6253289	4_5	0.05088378	-0.05088378	0.2966593	762	UKBB	AFR	Continuous
MeanDrinksWk	0.01104249	0.02008910	2.504902	4_5	0.05088378	-0.05088378	0.2966593	762	UKBB	AFR	Continuous
MeanDrinksWk	0.06180920	0.03778091	4.988487	4_5	0.05088378	-0.05088378	0.2966593	762	UKBB	AFR	Continuous
MeanDrinksWk	0.01092542	0.01530684	16.66013	4_5	0.05088378	-0.05088378	0.2966593	762	UKBB	AFR	Continuous
PhysicalActivity	0.03192444	0.009911436	10	2_4	0.01326254	-0.01326254	0.5073473	5352	UKBB	AFR	Continuous
PhysicalActivity	0.03746583	0.011349708	30	2_4	0.01326254	-0.01326254	0.5073473	5352	UKBB	AFR	Continuous
PhysicalActivity	0.03013887	0.010207570	50	2_4	0.01326254	-0.01326254	0.5073473	5352	UKBB	AFR	Continuous
PhysicalActivity	0.02420329	0.008969998	70	2_4	0.01326254	-0.01326254	0.5073473	5352	UKBB	AFR	Continuous
PhysicalActivity	0.03187973	0.010108008	90	2_4	0.01326254	-0.01326254	0.5073473	5352	UKBB	AFR	Continuous
NeverVsCurrent	0.03000341	0.00479733	0	1_2	0.002913449999999998	0.002913449999999998	0.7734243	5770	UKBB	AFR	Binary
NeverVsCurrent	0.03291686	0.01151487	1	1_2	0.002913449999999998	0.002913449999999998	0.7734243	5770	UKBB	AFR	Binary
PackYears	0.03271096	0.02460078	3.400873	3_5	0.0274971	0.0274971	0.4381026	1147	UKBB	AFR	Continuous
PackYears	0.02527718	0.02064626	7.69476	3_5	0.0274971	0.0274971	0.4381026	1147	UKBB	AFR	Continuous
PackYears	0.01030319	0.01318340	12.21337	3_5	0.0274971	0.0274971	0.4381026	1147	UKBB	AFR	Continuous
PackYears	0.03166451	0.02185708	18.18788	3_5	0.0274971	0.0274971	0.4381026	1147	UKBB	AFR	Continuous
PackYears	0.03780029	0.02544566	32.80902	3_5	0.0274971	0.0274971	0.4381026	1147	UKBB	AFR	Continuous
PolyunFatMean	0.01770646	0.01136723	4.510044	1_3	0.04155289	0.04155289	0.1951506	2343	UKBB	AFR	Continuous
PolyunFatMean	0.03916240	0.01732615	8.471421	1_3	0.04155289	0.04155289	0.1951506	2343	UKBB	AFR	Continuous
PolyunFatMean	0.05925935	0.02166591	11.66386	1_3	0.04155289	0.04155289	0.1951506	2343	UKBB	AFR	Continuous
PolyunFatMean	0.02024444	0.01255410	15.91395	1_3	0.04155289	0.04155289	0.1951506	2343	UKBB	AFR	Continuous
PolyunFatMean	0.03867529	0.01788943	27.05675	1_3	0.04155289	0.04155289	0.1951506	2343	UKBB	AFR	Continuous
PorkIntake	0.02838229	0.008561405	-0.215505	3_5	0.007375490000000002	0.007375490000000002	0.6541423	7033	UKBB	AFR	Continuous
PorkIntake	0.02830111	0.007916280	0.1435679	3_5	0.007375490000000002	0.007375490000000002	0.6541423	7033	UKBB	AFR	Continuous
PorkIntake	0.02341529	0.007765545	1	3_5	0.007375490000000002	0.007375490000000002	0.6541423	7033	UKBB	AFR	Continuous
PorkIntake	0.03008693	0.008852913	1.121535	3_5	0.007375490000000002	0.007375490000000002	0.6541423	7033	UKBB	AFR	Continuous
PorkIntake	0.03079078	0.008882681	2.333333	3_5	0.007375490000000002	0.007375490000000002	0.6541423	7033	UKBB	AFR	Continuous
PotassiumMean	0.03912820	0.01677639	1579.235	2_4	0.0281835	-0.0281835	0.3844387	2343	UKBB	AFR	Continuous
PotassiumMean	0.05122011	0.01970479	2480.255	2_4	0.0281835	-0.0281835	0.3844387	2343	UKBB	AFR	Continuous
PotassiumMean	0.03687604	0.01658486	3182.495	2_4	0.0281835	-0.0281835	0.3844387	2343	UKBB	AFR	Continuous
PotassiumMean	0.02303661	0.01346975	3964.745	2_4	0.0281835	-0.0281835	0.3844387	2343	UKBB	AFR	Continuous
PotassiumMean	0.02570979	0.01457025	6745.232	2_4	0.0281835	-0.0281835	0.3844387	2343	UKBB	AFR	Continuous
ProcMeatIntake	0.03679990	0.009363124	0.05263158	1_2	0.013876910000000003	-0.013876910000000003	0.4168852	7033	UKBB	AFR	Continuous
ProcMeatIntake	0.02292299	0.007833118	1	1_2	0.013876910000000003	-0.013876910000000003	0.4168852	7033	UKBB	AFR	Continuous
ProcMeatIntake	0.03107246	0.008423083	1.290185	1_2	0.013876910000000003	-0.013876910000000003	0.4168852	7033	UKBB	AFR	Continuous
ProcMeatIntake	0.02458203	0.007997357	2.136461	1_2	0.013876910000000003	-0.013876910000000003	0.4168852	7033	UKBB	AFR	Continuous
ProcMeatIntake	0.02649865	0.008107375	3.279318	1_2	0.013876910000000003	-0.013876910000000003	0.4168852	7033	UKBB	AFR	Continuous
ProteinMean	0.02083981	0.01209220	38.36403	1_2	0.04057801	0.04057801	0.2146583	2343	UKBB	AFR	Continuous
ProteinMean	0.06141782	0.02145921	62.59515	1_2	0.04057801	0.04057801	0.2146583	2343	UKBB	AFR	Continuous
ProteinMean	0.03261808	0.01536418	78.6772	1_2	0.04057801	0.04057801	0.2146583	2343	UKBB	AFR	Continuous
ProteinMean	0.03641584	0.01640567	98.05479	1_2	0.04057801	0.04057801	0.2146583	2343	UKBB	AFR	Continuous
ProteinMean	0.02575157	0.01371211	153.214	1_2	0.04057801	0.04057801	0.2146583	2343	UKBB	AFR	Continuous
RetinolMean	0.032363866	0.015959386	56.36472	3_5	0.053841635	0.053841635	0.07998944	2304	UKBB	AFR	Continuous
RetinolMean	0.026746144	0.013973566	140.6824	3_5	0.053841635	0.053841635	0.07998944	2304	UKBB	AFR	Continuous
RetinolMean	0.009363185	0.009614654	217.8002	3_5	0.053841635	0.053841635	0.07998944	2304	UKBB	AFR	Continuous
RetinolMean	0.034751968	0.016313466	312.0033	3_5	0.053841635	0.053841635	0.07998944	2304	UKBB	AFR	Continuous
RetinolMean	0.063204820	0.021934018	541.2721	3_5	0.053841635	0.053841635	0.07998944	2304	UKBB	AFR	Continuous
SaltAddedBinary	0.02947146	0.005629997	0	1_2	0.0011087800000000002	-0.0011087800000000002	0.9093582	7025	UKBB	AFR	Binary
SaltAddedBinary	0.02836268	0.004825848	1	1_2	0.0011087800000000002	-0.0011087800000000002	0.9093582	7025	UKBB	AFR	Binary
SaltAddedRawCont	0.02675635	0.008655390	1	1_4	0.0036251999999999986	0.0036251999999999986	0.8265959	7025	UKBB	AFR	Continuous
SaltAddedRawCont	0.02865429	0.008755191	1	1_4	0.0036251999999999986	0.0036251999999999986	0.8265959	7025	UKBB	AFR	Continuous
SaltAddedRawCont	0.03047298	0.008597986	1.700356	1_4	0.0036251999999999986	0.0036251999999999986	0.8265959	7025	UKBB	AFR	Continuous
SaltAddedRawCont	0.03038155	0.008090158	2.055516	1_4	0.0036251999999999986	0.0036251999999999986	0.8265959	7025	UKBB	AFR	Continuous
SaltAddedRawCont	0.02721646	0.007981263	3.500356	1_4	0.0036251999999999986	0.0036251999999999986	0.8265959	7025	UKBB	AFR	Continuous
SatFatGramsWk	0.02546165	0.008803067	4.965239	1_5	0.00988793	0.00988793	0.5932806	6073	UKBB	AFR	Continuous
SatFatGramsWk	0.02659551	0.008472119	14.06146	1_5	0.00988793	0.00988793	0.5932806	6073	UKBB	AFR	Continuous
SatFatGramsWk	0.02635582	0.008955419	25.73096	1_5	0.00988793	0.00988793	0.5932806	6073	UKBB	AFR	Continuous
SatFatGramsWk	0.02623224	0.008619320	38.58464	1_5	0.00988793	0.00988793	0.5932806	6073	UKBB	AFR	Continuous
SatFatGramsWk	0.03534958	0.009804841	68.94038	1_5	0.00988793	0.00988793	0.5932806	6073	UKBB	AFR	Continuous
SaturatedFatMean	0.01457010	0.01045187	9.491086	1_5	0.05073669	0.05073669	0.09922222	2343	UKBB	AFR	Continuous
SaturatedFatMean	0.05291976	0.01912658	16.90222	1_5	0.05073669	0.05073669	0.09922222	2343	UKBB	AFR	Continuous
SaturatedFatMean	0.01985983	0.01333211	23.52475	1_5	0.05073669	0.05073669	0.09922222	2343	UKBB	AFR	Continuous
SaturatedFatMean	0.02448376	0.01401323	31.76903	1_5	0.05073669	0.05073669	0.09922222	2343	UKBB	AFR	Continuous
SaturatedFatMean	0.06530679	0.02097646	52.96607	1_5	0.05073669	0.05073669	0.09922222	2343	UKBB	AFR	Continuous
SBPadj	0.03294244	0.009486583	115.3119	2_3	0.03702238	0.03702238	0.01325878	6784	UKBB	AFR	Continuous
SBPadj	0.00814108	0.004504144	129.2808	2_3	0.03702238	0.03702238	0.01325878	6784	UKBB	AFR	Continuous
SBPadj	0.04516346	0.010651627	140.7918	2_3	0.03702238	0.03702238	0.01325878	6784	UKBB	AFR	Continuous
SBPadj	0.02339582	0.008121519	153.3567	2_3	0.03702238	0.03702238	0.01325878	6784	UKBB	AFR	Continuous
SBPadj	0.02712188	0.008735355	175.0523	2_3	0.03702238	0.03702238	0.01325878	6784	UKBB	AFR	Continuous
Sex	0.03408352	0.005536185	0	1_2	0.009564159999999999	-0.009564159999999999	0.3827859	7033	UKBB	AFR	Binary
Sex	0.02451936	0.005422813	1	1_2	0.009564159999999999	-0.009564159999999999	0.3827859	7033	UKBB	AFR	Binary
SleepDuration	0.03460355	0.009471333	4.89466	3_4	0.013562089999999999	0.013562089999999999	0.4445001	6835	UKBB	AFR	Continuous
SleepDuration	0.02613963	0.008306026	6	3_4	0.013562089999999999	0.013562089999999999	0.4445001	6835	UKBB	AFR	Continuous
SleepDuration	0.02430504	0.007926498	6.651792	3_4	0.013562089999999999	0.013562089999999999	0.4445001	6835	UKBB	AFR	Continuous
