Exposure	R2	SE	Mean	Max_diff_bw	Abs_max_diff_bw	R2_diff	P_max_diff	N	Cohort	Ancestry	VariableType
TG	0.06991579	0.006119916	274.2031	4_5	0.014144709999999991	-0.014144709999999991	0.2593567	31939	eMERGE	EUR	Continuous
TotCholesterol	0.08341987	0.006660475	124.5884	2_5	0.020956359999999993	-0.020956359999999993	0.09479643	31961	eMERGE	EUR	Continuous
TotCholesterol	0.08919308	0.006565687	157.152	2_5	0.020956359999999993	-0.020956359999999993	0.09479643	31961	eMERGE	EUR	Continuous
TotCholesterol	0.07452742	0.006320283	178.7753	2_5	0.020956359999999993	-0.020956359999999993	0.09479643	31961	eMERGE	EUR	Continuous
TotCholesterol	0.08099932	0.006076997	201.9678	2_5	0.020956359999999993	-0.020956359999999993	0.09479643	31961	eMERGE	EUR	Continuous
TotCholesterol	0.06823672	0.005983164	245.1146	2_5	0.020956359999999993	-0.020956359999999993	0.09479643	31961	eMERGE	EUR	Continuous
Age	0.018520183	0.014767920	40.04762	4_5	0.031884534	-0.031884534	0.2361767	1789	GERA	AFR	Continuous
Age	0.041300840	0.021544814	53.5419	4_5	0.031884534	-0.031884534	0.2361767	1789	GERA	AFR	Continuous
Age	0.014491051	0.013145178	60.51117	4_5	0.031884534	-0.031884534	0.2361767	1789	GERA	AFR	Continuous
Age	0.039666923	0.019447728	67.32682	4_5	0.031884534	-0.031884534	0.2361767	1789	GERA	AFR	Continuous
Age	0.007782389	0.008873744	75.56704	4_5	0.031884534	-0.031884534	0.2361767	1789	GERA	AFR	Continuous
AlcoholDaysPerWeek	0.020877590	0.014922195	10	3_4	0.042496013	-0.042496013	0.1083964	1699	GERA	AFR	Continuous
AlcoholDaysPerWeek	0.024903733	0.016081082	30	3_4	0.042496013	-0.042496013	0.1083964	1699	GERA	AFR	Continuous
AlcoholDaysPerWeek	0.044893185	0.021291294	50	3_4	0.042496013	-0.042496013	0.1083964	1699	GERA	AFR	Continuous
AlcoholDaysPerWeek	0.002397172	0.006690077	70	3_4	0.042496013	-0.042496013	0.1083964	1699	GERA	AFR	Continuous
AlcoholDaysPerWeek	0.025537672	0.017511094	90	3_4	0.042496013	-0.042496013	0.1083964	1699	GERA	AFR	Continuous
EduAttain	0.02328839	0.01583483	1.35014	2_5	0.016881840000000002	0.016881840000000002	0.5308486	1789	GERA	AFR	Continuous
EduAttain	0.01056184	0.01125472	2	2_5	0.016881840000000002	0.016881840000000002	0.5308486	1789	GERA	AFR	Continuous
EduAttain	0.02330598	0.01727110	2.793296	2_5	0.016881840000000002	0.016881840000000002	0.5308486	1789	GERA	AFR	Continuous
EduAttain	0.01523963	0.01308880	3	2_5	0.016881840000000002	0.016881840000000002	0.5308486	1789	GERA	AFR	Continuous
EduAttain	0.02744368	0.01726284	3.385475	2_5	0.016881840000000002	0.016881840000000002	0.5308486	1789	GERA	AFR	Continuous
